IncidntNum,Category,Descript,DayOfWeek,Date,PdDistrict,Resolution,X,Y,Location
140622186,LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,07/26/2014 12:00:00 AM +0000,CENTRAL,NONE,-122.405514949391,37.7910019591857,"(37.7910019591857, -122.405514949391)"
140593098,VANDALISM,"MALICIOUS MISCHIEF, GRAFFITI",Saturday,07/12/2014 12:00:00 AM +0000,TARAVAL,NONE,-122.476466864677,37.7542684585144,"(37.7542684585144, -122.476466864677)"
140644839,LARCENY/THEFT,PETTY THEFT FROM LOCKED AUTO,Sunday,08/03/2014 12:00:00 AM +0000,SOUTHERN,NONE,-122.370740926948,37.8170463264521,"(37.8170463264521, -122.370740926948)"
140662825,NON-CRIMINAL,FOUND PROPERTY,Saturday,08/09/2014 12:00:00 AM +0000,PARK,NONE,-122.445717668922,37.7720809772689,"(37.7720809772689, -122.445717668922)"
140549580,ASSAULT,CHILD ABUSE (PHYSICAL),Wednesday,07/02/2014 12:00:00 AM +0000,BAYVIEW,NONE,-122.395579481891,37.7174748745238,"(37.7174748745238, -122.395579481891)"
140562902,ASSAULT,BATTERY,Monday,07/07/2014 12:00:00 AM +0000,SOUTHERN,"ARREST, BOOKED",-122.406659517434,37.7850491022993,"(37.7850491022993, -122.406659517434)"
140676343,LARCENY/THEFT,PETTY THEFT FROM A BUILDING,Monday,07/07/2014 12:00:00 AM +0000,TARAVAL,NONE,-122.48894431121,37.7615508304519,"(37.7615508304519, -122.48894431121)"
140556585,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Saturday,07/05/2014 12:00:00 AM +0000,PARK,"ARREST, CITED",-122.437612766191,37.7740604119876,"(37.7740604119876, -122.437612766191)"
146170024,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Wednesday,08/20/2014 12:00:00 AM +0000,CENTRAL,NONE,-122.403193067238,37.8051144492567,"(37.8051144492567, -122.403193067238)"
140598076,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Friday,07/18/2014 12:00:00 AM +0000,SOUTHERN,NONE,-122.403742962696,37.7752316978411,"(37.7752316978411, -122.403742962696)"
146157389,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,08/04/2014 12:00:00 AM +0000,SOUTHERN,NONE,-122.411279189969,37.771578576534,"(37.771578576534, -122.411279189969)"
140695600,LARCENY/THEFT,GRAND THEFT FROM PERSON,Saturday,08/16/2014 12:00:00 AM +0000,MISSION,NONE,-122.428051707644,37.7580899768083,"(37.7580899768083, -122.428051707644)"
140694646,BURGLARY,"BURGLARY OF APARTMENT HOUSE, UNLAWFUL ENTRY",Monday,08/18/2014 12:00:00 AM +0000,TARAVAL,NONE,-122.47475787324,37.743199238155,"(37.743199238155, -122.47475787324)"
140554216,VEHICLE THEFT,STOLEN AUTOMOBILE,Thursday,07/03/2014 12:00:00 AM +0000,INGLESIDE,NONE,-122.420841566374,37.7415908326629,"(37.7415908326629, -122.420841566374)"
140686546,OTHER OFFENSES,MISCELLANEOUS INVESTIGATION,Saturday,08/16/2014 12:00:00 AM +0000,CENTRAL,NONE,-122.415038471731,37.7978294052597,"(37.7978294052597, -122.415038471731)"
140681615,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM OF VEHICLES",Friday,08/15/2014 12:00:00 AM +0000,INGLESIDE,NONE,-122.415394753877,37.7381019317162,"(37.7381019317162, -122.415394753877)"
140705340,BURGLARY,"BURGLARY, HOT PROWL, FORCIBLE ENTRY",Friday,08/22/2014 12:00:00 AM +0000,BAYVIEW,NONE,-122.404774594231,37.7281589242689,"(37.7281589242689, -122.404774594231)"
140688934,WARRANTS,WARRANT ARREST,Sunday,08/17/2014 12:00:00 AM +0000,MISSION,"ARREST, BOOKED",-122.419710793436,37.7659202147515,"(37.7659202147515, -122.419710793436)"
140644390,LARCENY/THEFT,GRAND THEFT OF PROPERTY,Sunday,08/03/2014 12:00:00 AM +0000,NORTHERN,NONE,-122.422748320745,37.7787132856048,"(37.7787132856048, -122.422748320745)"
140719818,MISSING PERSON,MISSING JUVENILE,Tuesday,08/26/2014 12:00:00 AM +0000,INGLESIDE,NONE,-122.434881800612,37.7227377050016,"(37.7227377050016, -122.434881800612)"
140612864,VEHICLE THEFT,STOLEN AUTOMOBILE,Wednesday,07/23/2014 12:00:00 AM +0000,RICHMOND,NONE,-122.456963419061,37.7859618830315,"(37.7859618830315, -122.456963419061)"
140673521,WARRANTS,ENROUTE TO PROBATION OFFICER,Tuesday,08/12/2014 12:00:00 AM +0000,NORTHERN,"ARREST, BOOKED",-122.431571409363,37.7693057403876,"(37.7693057403876, -122.431571409363)"
140605778,ASSAULT,AGGRAVATED ASSAULT WITH A DEADLY WEAPON,Monday,07/21/2014 12:00:00 AM +0000,CENTRAL,"ARREST, BOOKED",-122.416990817042,37.7872009163485,"(37.7872009163485, -122.416990817042)"
