IncidntNum,Category,Descript,DayOfWeek,Date,PdDistrict,Resolution,X,Y,Location
140358331,OTHER OFFENSES,"DRIVERS LICENSE, SUSPENDED OR REVOKED",Tuesday,09/30/2014,INGLESIDE,"ARREST, CITED",-122.437438118789,37.7237173830109,"(37.7237173830109, -122.437438118789)"
140375614,NON-CRIMINAL,LOST PROPERTY,Monday,09/22/2014,MISSION,NONE,-122.410659269791,37.7678587879143,"(37.7678587879143, -122.410659269791)"
140481233,OTHER OFFENSES,TRAFFIC VIOLATION,Saturday,09/06/2014,MISSION,"ARREST, CITED",-122.419671780296,37.7650501214965,"(37.7650501214965, -122.419671780296)"
140734587,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Monday,09/01/2014,NORTHERN,NONE,-122.421949487547,37.7884881521432,"(37.7884881521432, -122.421949487547)"
140734430,NON-CRIMINAL,FOUND PROPERTY,Monday,09/01/2014,TENDERLOIN,NONE,-122.412601261914,37.7838976374337,"(37.7838976374337, -122.412601261914)"
140734509,DRIVING UNDER THE INFLUENCE,DRIVING WHILE UNDER THE INFLUENCE OF ALCOHOL,Monday,09/01/2014,NORTHERN,"ARREST, BOOKED",-122.41827417166,37.7870372043982,"(37.7870372043982, -122.41827417166)"
140734521,LARCENY/THEFT,GRAND THEFT FROM PERSON,Monday,09/01/2014,TENDERLOIN,NONE,-122.410644178302,37.7842132403631,"(37.7842132403631, -122.410644178302)"
140734703,VANDALISM,"MALICIOUS MISCHIEF, VANDALISM",Monday,09/01/2014,CENTRAL,NONE,-122.417296472239,37.8071029460288,"(37.8071029460288, -122.417296472239)"
140731969,WARRANTS,WARRANT ARREST,Sunday,08/31/2014,CENTRAL,"ARREST, BOOKED",-122.405803850043,37.791777311516,"(37.791777311516, -122.405803850043)"
140733385,NON-CRIMINAL,"AIDED CASE, MENTAL DISTURBED",Sunday,08/31/2014,MISSION,PSYCHOPATHIC CASE,-122.410488829308,37.7656058639002,"(37.7656058639002, -122.410488829308)"
146177111,LARCENY/THEFT,GRAND THEFT FROM UNLOCKED AUTO,Sunday,08/31/2014,CENTRAL,NONE,-122.405595152271,37.8066474069751,"(37.8066474069751, -122.405595152271)"
140733642,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,08/31/2014,RICHMOND,"ARREST, BOOKED",-122.482372245817,37.7667702165662,"(37.7667702165662, -122.482372245817)"
146176602,LARCENY/THEFT,GRAND THEFT FROM LOCKED AUTO,Sunday,08/31/2014,TARAVAL,NONE,-122.471839946267,37.7656565160578,"(37.7656565160578, -122.471839946267)"
140734054,NON-CRIMINAL,FOUND PROPERTY,Sunday,08/31/2014,RICHMOND,NONE,-122.466018767964,37.7752712189114,"(37.7752712189114, -122.466018767964)"
140732876,OTHER OFFENSES,MISCELLANEOUS STATE FELONY,Sunday,08/31/2014,TENDERLOIN,NONE,-122.414854585517,37.784570369827,"(37.784570369827, -122.414854585517)"
